so_question_id,so_answer_score,status,total_score,resource,fixture_type,penalty,d1,d2,d3,d4,d5,g3_pass,g4_new,question_raw
aviral sanjay,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>How to resolve the error no module named pandas when one node (in Airflow's DAG) is successful in using it(pandas) and the other is not?</p>

<p>I am unable to deduce as to why I am getting an erro"
DoubleQueens,0,review,1.8,Job,followup,0.0,1,3,2,1,2,True,True,"<p>I tried to install ibm-eventstreams-dev v 0.1.2 into my Mac. </p>

<p>After I installed eventstreams into my Mac, there's always several pods that can't run. It includes three kafka pods: es-ibm-es"
Michael,0,discard_score,1.7,Secret,yaml_gen,0.0,2,1,3,1,1,True,True,"<p>I hope it's ok to ask for your advice.</p>
<p>The problem in a nutshell: my pipeline cannot pull private images from GHCR.IO into Okteto Kubernetes, but public images from the same private repo wor"
Mihail,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,<p>I've been using the kubectl to upload Airflow workflows to the kubernetes (/usr/local/airflow/dags) manually. It is possible to do this without using the kubectl? by using a python script? or somet
Daigo,0,discard_g2,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I'm trying to deploy okteto environment on Visual Studio Code to use Remote Development on Kubernetes.</p>
<p>Following the official steps (<a href=""https://okteto.com/blog/remote-kubernetes-develo"
Nicolas Marshall,0,discard_score,1.3,Service,conceptual,0.3,2,1,2,1,2,True,False,"<p>Is there currently a way to serve websockets from an application deployed on Okteto cloud given the okteto-specific limitations around <code>Ingress</code>es and <code>Service</code>s ?</p>

<hr>

"
RohithVallabhaneni,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I was working on Jenkins for many days and deploy my services to Kubernetes.</p>

<p>I recently came across Jenkins X, I also found a Helm chart for Jenkins through which I can host Jenkins in Kube"
jwl1993,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>Recently, I tried to setup Jenkins X on a kubernetes cluster. However there exists some problem during installation. </p>

<p>There are several options in <code>jx create cluster</code> such as aks"
Chris Gillum,0,accept,2.05,Deployment,yaml_gen,0.3,3,2,3,1,2,True,False,"<p>I'm creating a custom resource definition (CRD) with an associated controller using <a href=""https://github.com/kubernetes-sigs/kubebuilder"" rel=""nofollow noreferrer"">kubebuilder</a>. My controller"
Shariful Nibir,0,discard_score,1.45,Service,conceptual,0.3,2,2,2,1,1,True,False,"<p>I have deployed Azure Durable Http Triggered Function app in Azure Kubernetes Service. I used Visual Studio Code to create the function app. I have followed instructions from this this <a href=""htt"
Sudheej,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,<p>Stateless is the way to go for services running in pods however i have been trying to move a stateful app which needs to perform session persistence if one pod goes does for resiliency reasons.</p>
Nick,0,discard_g3,0.0,Service,conceptual,0.0,0,0,0,0,0,False,True,"<p>I'm trying to create a simple nginx service on GKE, but I'm running into strange problems. </p>

<p>Nginx runs on port 80 inside the Pod. The service is accessible on port 8080. (This works, I can "
Joseph Horsch,0,discard_g3,0.0,Ingress,conceptual,0.0,0,0,0,0,0,False,True,"<p>I would like to expose my Kubernetes Managed Digital Ocean (single node) cluster's service on port 80 without the use of Digital Ocean's load balancer. Is this possible? How would I do this? </p>

"
sidharth padhee,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>The data needs to be loaded periodically (like once in a day), and it should be stored in SQL format so that the API can run SQL queries.
We are thinking of loading it from HDFS. Currently we are t"
Judith,0,discard_score,1.55,Deployment,relationship,0.3,1,2,3,1,3,True,False,"<p>Trying Ignite with Kubertenes deployment options. </p>

<ol>
<li>Is it zone-aware? Cannot find any docs &amp; configuration about this.</li>
<li>Can I connect the Kubernetes cluster via an external"
Pradeepl,0,review,1.9,Deployment,conceptual,0.3,2,3,2,1,3,True,False,"<p>I am trying to extract podname using the below jq query.</p>
<pre class=""lang-sh prettyprint-override""><code>❯ kubectl get pods -l app=mssql-primary --output jsonpath='{.items[0].metadata.name}'
ms"
 RichardFeynman,0,discard_score,1.55,Pod,followup,0.0,1,2,2,1,2,True,True,"<p>We are trying to use control.sh to activate out Ignite cluster which is running in Kubernetes and has native persistence as described <a href=""https://ignite.apache.org/docs/latest/tools/control-sc"
 RichardFeynman,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>Are  there any know issues with running the org.apache.ignite.spi.discovery.tcp.ipfinder.kubernetes.TcpDiscoveryKubernetesIpFinder a purely IPv6 environment? I looked <a href=""https://ignite.apache"
Rameish,0,discard_g2,0.0,Persistentvolumeclaim,conceptual,0.0,0,0,0,0,0,True,True,"<p>We have observed following issue when we deploy Ignite Cluster on Open Shift</p>
<p>We have created respective PV and PVC YAML files.</p>
<p>One more important point is always it points to /ignite/"
yesman,0,review,1.85,Deployment,conceptual,0.3,3,2,2,1,2,True,False,"<p>I am trying to run an ASP.Net docker container on Kubernetes as a non-root user. I have this dockerfile:</p>
<pre><code>FROM mcr.microsoft.com/dotnet/core/aspnet:3.1-buster-slim AS base
WORKDIR /ap"
ho wing kent,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I have a Kubernetes setup of 7 Apache Ignite servers and over 100 clients.</p>

<p>With my current Apache Ignite configuration, I am seeing the following line of log for the servers:</p>

<pre><cod"
Frederico23,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I am trying to install Operator Lifecycle Manager (OLM) — a tool to help manage the Operators running on your cluster — from the <a href=""https://operatorhub.io/operator/gitlab-runner-operator"" rel"
